,main_coef,main_p,full_data_coef,full_data_p,trim_resid5_coef,trim_resid5_p
Intercept,67.855,0.0,68.035,0.0,67.585,0.0
year,0.78,0.0,0.757,0.0,0.939,0.0
log_hiv,-3.103,0.0,-3.281,0.0,-2.565,0.0
schooling,2.241,0.0,2.432,0.0,1.76,0.0
log_gdp,-0.028,0.546,-0.019,0.71,-0.036,0.284
polio,0.062,0.155,0.075,0.119,0.053,0.094
diphtheria,0.089,0.05,0.095,0.058,0.065,0.049
total_expenditure,0.006,0.909,-0.098,0.076,0.028,0.454
alcohol,-0.116,0.224,-0.061,0.563,-0.125,0.074
developed,8.825,0.0,7.801,0.0,9.824,0.0
schooling:developed,-1.63,0.002,-0.84,0.131,-1.502,0.0
